genome_name,name,Lineage,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_002753225.1,Deltaproteobacteria bacterium YD0425bin51,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,YD0425bin51,SAMN07572861,PRJNA400260,Sediment metagenome,NA,Sediment,GCA_002753225.1,Contig,5.22162,32.2,,PDZS01,134,0,2017-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/753/225/GCA_002753225.1_ASM275322v1,
GCA_002771395.1,Bacteroidetes bacterium CG23_combo_of_CG06-09_8_20_14_all_32_9,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,CG23_combo_of_CG06-09_8_20_14_all_32_9,SAMN06659657,PRJNA362739,aquifer metagenome,Probst et al. 2045,Subsurface,GCA_002771395.1,Scaffold,2.27562,32.3,,PCSS01,400,1807,2017-11-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/771/395/GCA_002771395.1_ASM277139v1,
GCA_004195345.1,Clostridiales bacterium MAG-BB-3,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,MAG-BB-3,SAMN10805733,PRJNA510104,Marine Sediment metagenome  ,NA,Marine,GCA_004195345.1,Contig,5.48685,32.9,,SDWM01,201,0,2019-02-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/195/345/GCA_004195345.1_ASM419534v1,
GCA_001440545.1,Caloramator mitchellensis,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,VF08,SAMN03733418,PRJNA284824,Isolate sequencing,Patel et al. 2016,Isolate,GCA_001440545.1,Contig,2.41936,33.2,,LKHP01,53,2336,2015-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/440/545/GCA_001440545.1_ASM144054v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/440/545/GCF_001440545.1_ASM144054v1
GCA_900101495.1,Alkaliphilus peptidifermentans DSM 18978,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,DSM 18978,SAMN03080606,PRJEB15752,JGI Isolate sequencing,NA,Isolate,GCA_900101495.1,Scaffold,4.45979,34.1,,FMUS01,73,4072,2016-10-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/495/GCA_900101495.1_IMG-taxon_2599185223_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/495/GCF_900101495.1_IMG-taxon_2599185223_annotated_assembly
GCA_001769785.1,Bacteroidetes bacterium RIFOXYC12_FULL_35_7,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,,SAMN04314612,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001769785.1,Scaffold,5.35884,34.5,,MEPL01,608,3500,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/769/785/GCA_001769785.1_ASM176978v1,
GCA_003838235.1,Methanosalsum natronophilum,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,MSAO_Arc3,SAMN09770004,PRJNA484800,soda lake metagenome,NA,Freshwater,GCA_003838235.1,Contig,1.53302,34.7,,QZAB01,594,1797,2018-11-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/838/235/GCA_003838235.1_ASM383823v1,
GCA_001769395.1,Bacteroidetes bacterium RIFOXYA12_FULL_35_11,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,,SAMN04314396,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001769395.1,Scaffold,5.19065,34.8,,MEPE01,292,3558,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/769/395/GCA_001769395.1_ASM176939v1,
GCA_001769125.1,Bacteroidetes bacterium GWF2_35_48,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,,SAMN04313822,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001769125.1,Scaffold,5.98032,34.8,,MEOG01,142,4206,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/769/125/GCA_001769125.1_ASM176912v1,
GCA_000405345.1,Atribacteria bacterium SCGC AAA255-N14,Bacteria;unclassified Bacteria;Bacteria candidate phyla,unclassified,Unclassified,SCGC AAA255-N14,SAMN02441602,PRJNA192495,JGI Isolate sequencing,Rinke et al. 2013,Isolate,GCA_000405345.1,Contig,1.42444,34.9,,ASPC01,117,0,2013-06-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/405/345/GCA_000405345.1_ASM40534v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/405/345/GCF_000405345.1_ASM40534v1
GCA_003555325.1,Methanosarcinaceae archaeon,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,T1Sed10_164,SAMN08575091,PRJNA434545,soda lake metagenome,NA,Freshwater,GCA_003555325.1,Contig,1.95469,35,,PWGQ01,183,0,2018-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/555/325/GCA_003555325.1_ASM355532v1,
GCA_002423765.1,Firmicutes bacterium UBA5526,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA5526,SAMN06457710,PRJNA348753,Parks 2017 UBA reassembly,New York City MTA subway samples Metagenome,Built_Environment,GCA_002423765.1,Scaffold,3.99007,35.3,,DIOA01,97,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/423/765/GCA_002423765.1_ASM242376v1,
GCA_002381185.1,Firmicutes bacterium UBA3553,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA3553,SAMN06452311,PRJNA348753,Parks 2017 UBA reassembly,New York City MTA subway samples Metagenome,Built_Environment,GCA_002381185.1,Scaffold,4.31986,35.4,,DFOA01,70,0,2017-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/381/185/GCA_002381185.1_ASM238118v1,
GCA_900111615.1,Natronincola peptidivorans,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,DSM 18979,SAMN05660297,PRJEB17061,JGI Isolate sequencing,NA,Isolate,GCA_900111615.1,Scaffold,3.76898,35.5,,FOHU01,56,3429,2016-10-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/111/615/GCA_900111615.1_IMG-taxon_2599185224_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/615/GCF_900111615.1_IMG-taxon_2599185224_annotated_assembly
GCA_002386685.1,Firmicutes bacterium UBA4599,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA4599,SAMN06452779,PRJNA348753,Parks 2017 UBA reassembly,New York City MTA subway samples Metagenome,Built_Environment,GCA_002386685.1,Scaffold,4.16818,35.5,,DGJJ01,46,0,2017-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/685/GCA_002386685.1_ASM238668v1,
GCA_000179595.2,Hungateiclostridium cellulolyticum CD2,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,CD2,SAMN02256541,PRJNA45843,JGI Isolate sequencing,NA,Isolate,GCA_000179595.2,Scaffold,6.15674,35.5,,AEDB02,10,4791,2010-08-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/595/GCA_000179595.2_ASM17959v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/595/GCF_000179595.2_ASM17959v2
GCA_000745845.1,Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,DSM 2933,SAMN02745943,PRJNA221003,JGI Isolate sequencing,NA,Isolate,GCA_000745845.1,Scaffold,6.63082,35.5,,JQKC01,123,5260,2014-08-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/745/845/GCA_000745845.1_ASM74584v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/745/845/GCF_000745845.1_ASM74584v1
GCA_001262605.1,Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,DSM 2933,SAMN03938399,PRJNA290984,Isolate sequencing,Dassa et al. 2015,Isolate,GCA_001262605.1,Contig,6.87882,35.6,,LGTC01,1,5462,2015-08-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/262/605/GCA_001262605.1_ASM126260v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/262/605/GCF_001262605.1_ASM126260v1
GCA_002880665.1,Desulfobacteraceae endosymbiont BCDbactsym of Geleiidae sp.,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,BCDbactsym,SAMN06894520,PRJNA379456,ciliate metagenome,Beinart et al. 2018,Endosymbiont,GCA_002880665.1,Contig,1.76529,36,,NIWE01,540,0,2018-01-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/880/665/GCA_002880665.1_ASM288066v1,
GCA_001829155.1,Spirochaetes bacterium GWB1_36_13,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,,SAMN04313962,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829155.1,Scaffold,3.04188,36.1,,MIAO01,151,2753,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/155/GCA_001829155.1_ASM182915v1,
GCA_001515945.1,Desulfitibacter sp. BRH_c19,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,BRH_c19,SAMN04126953,PRJNA257561,"rock porewater metagenome, deep Subsurface",NA,Subsurface,GCA_001515945.1,Contig,3.85358,36.1,,LOER01,48,3521,2016-01-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/945/GCA_001515945.1_41k,
GCA_003354035.1,Bacteroidetes bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,Glo_10,SAMN08108701,PRJNA415343,globobulimina sequencing,NA,Endosymbiont,GCA_003354035.1,Contig,5.59166,36.1,,PIVR01,1331,0,2018-08-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/354/035/GCA_003354035.1_ASM335403v1,
GCA_002298125.1,Clostridium sp. UBA701,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA701,SAMN06453164,PRJNA348753,Parks 2017 UBA reassembly,Comparative metagenome analyses of anode-associated microbial communities developed in Wetlands field-soil microbial fuel cells,Wetlands,GCA_002298125.1,Scaffold,2.97949,36.2,,DBMJ01,23,0,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/298/125/GCA_002298125.1_ASM229812v1,
GCA_003246295.1,Clostridia bacterium,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,SZUA-378,SAMN09287926,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003246295.1,Contig,3.05323,36.2,,QKAS01,76,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/246/295/GCA_003246295.1_ASM324629v1,
GCA_003353725.1,Deltaproteobacteria bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,Glo_20,SAMN08108711,PRJNA415343,globobulimina sequencing,NA,Endosymbiont,GCA_003353725.1,Contig,6.92902,36.9,,PIWB01,2115,0,2018-08-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/353/725/GCA_003353725.1_ASM335372v1,
GCA_000961765.1,Clostridiaceae bacterium BRH_c20a,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,BRH_c20a,SAMN03400150,PRJNA257561,"rock porewater metagenome, deep Subsurface",NA,Subsurface,GCA_000961765.1,Contig,4.51287,37,,LADT01,92,3868,2015-03-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/961/765/GCA_000961765.1_41k,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/961/765/GCF_000961765.1_41k
GCA_004195035.1,Candidatus Acidulodesulfobacterium ferriphilum,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,AP3,SAMN10849878,PRJNA517999,mine drainage metagenome,Tan et al. 2019,Engineered,GCA_004195035.1,Contig,1.87312,37.3,,SGBD01,7,1778,2019-02-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/195/035/GCA_004195035.1_Delta_AP3,
GCA_003141415.1,Bacteroidales bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,fen_983,SAMN08180144,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003141415.1,Scaffold,5.25655,37.4,,PLLX01,279,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/415/GCA_003141415.1_20120800_E3S,
GCA_002299555.1,Candidatus Aminicenantes bacterium UBA647,Bacteria;unclassified Bacteria;Bacteria candidate phyla,Candidatus Aminicenantes,Aminicenantes,UBA647,SAMN06457567,PRJNA348753,Parks 2017 UBA reassembly,Hakon Mosby Mud Volcano Targeted Locus (Loci),Sediment,GCA_002299555.1,Scaffold,2.65605,37.6,,DBOL01,115,0,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/299/555/GCA_002299555.1_ASM229955v1,
GCA_002840935.1,Bacteroidetes bacterium HGW-Bacteroidetes-21,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,HGW-Bacteroidetes-21,SAMN06767591,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002840935.1,Scaffold,3.90251,37.6,,PHDH01,326,3202,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/935/GCA_002840935.1_ASM284093v1,
GCA_003141575.1,Bacteroidales bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,fen_978,SAMN08180126,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003141575.1,Scaffold,5.41643,37.6,,PLMP01,316,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/575/GCA_003141575.1_20120800_E2X,
GCA_003155275.1,Actinobacteria bacterium,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,Actinobacteria,fen_731,SAMN08179777,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003155275.1,Scaffold,2.1795,37.8,,PMCC01,178,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/155/275/GCA_003155275.1_20120700_E3M,
GCA_003157015.1,Bacteroidales bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,fen_957,SAMN08179609,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003157015.1,Scaffold,5.20583,37.8,,PMIJ01,238,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/157/015/GCA_003157015.1_20120600_E3D,
GCA_003154725.1,Bacteroidales bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,fen_959,SAMN08179714,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003154725.1,Scaffold,3.94594,38,,PMEL01,96,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/154/725/GCA_003154725.1_20120700_E1X,
GCA_004322245.1,Bacteriodetes bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,FW215_bin.33,SAMN10720172,PRJNA514088,groundwater metagenome,NA,Subsurface,GCA_004322245.1,Contig,3.96583,38,,SCSS01,911,3564,2019-02-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/322/245/GCA_004322245.1_ASM432224v1,
GCA_003141895.1,Bacteroidales bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,fen_974,SAMN08180096,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003141895.1,Scaffold,4.01093,38,,PLNT01,46,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/895/GCA_003141895.1_20120800_E1X,
GCA_003161895.1,Bacteroidales bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,fen_945,SAMN08178755,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003161895.1,Scaffold,4.48169,38,,PMNI01,459,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/161/895/GCA_003161895.1_20100900_E3D,
GCA_003141525.1,Bacteroidales bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,fen_980,SAMN08180130,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003141525.1,Scaffold,4.82209,38,,PLML01,241,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/525/GCA_003141525.1_20120800_E3D,
