user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
bacteria06450	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp1	GCA_001771695.1	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp1	99.97	0.98	GCA_001771695.1	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp1	99.97	0.98	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07725	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp1	GCA_001797585.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp1	100.0	0.99	GCA_001797585.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp1	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria16099	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Geobacter_C;s__GCA_002423105.1	GCA_002423105.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Geobacter_C;s__	100.0	0.99	GCA_002423105.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Geobacter_C;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15490	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__GCA_002398105.1	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	99.83	0.88	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	99.83	0.88	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08685	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__GCA_001829455.1	GCA_001829455.1	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__	100.0	0.99	GCA_001829455.1	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__RBG-16-49-21;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria02180	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus acidiphilus	GCF_000255115.2	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus acidiphilus	100.0	1.0	GCF_000255115.2	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus acidiphilus	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria12079	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__GCA_002327985.1	GCA_002327985.1	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	100.0	0.99	GCA_002327985.1	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07943	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__GCA_001802135.1	GCA_001802135.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	100.0	1.0	GCA_001802135.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria12883	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__GCA_002382785.1	GCA_002382785.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	99.68	0.87	GCA_002382785.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	99.68	0.87	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria17632	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus	GCF_900217235.1	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus	97.98	0.85	GCF_900217235.1	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus	97.98	0.85	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria01635	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens;s__Ethanoligenens harbinense	GCF_000178115.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens;s__Ethanoligenens harbinense	100.0	1.0	GCF_000178115.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens;s__Ethanoligenens harbinense	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria12889	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__GCA_002347685.1	GCA_002347685.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	100.0	1.0	GCA_002347685.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria06464	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp1	GCA_001771695.1	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp1	100.0	1.0	GCA_001771695.1	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp1	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria02069	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus orientis	GCF_000235605.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus orientis	100.0	1.0	GCF_000235605.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus orientis	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07807	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__XYD12-FULL-50-9;s__GCA_001799225.1	GCA_001799225.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__XYD12-FULL-50-9;s__	100.0	0.99	GCA_001799225.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__XYD12-FULL-50-9;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria06881	d__Bacteria;p__Firestonebacteria;c__D2-FULL-39-29;o__D2-FULL-39-29;f__D2-FULL-39-29;g__D2-FULL-39-29;s__GCA_001778375.1	GCA_001778375.1	d__Bacteria;p__Firestonebacteria;c__D2-FULL-39-29;o__D2-FULL-39-29;f__D2-FULL-39-29;g__D2-FULL-39-29;s__	99.76	0.91	GCA_001778375.1	d__Bacteria;p__Firestonebacteria;c__D2-FULL-39-29;o__D2-FULL-39-29;f__D2-FULL-39-29;g__D2-FULL-39-29;s__	99.76	0.91	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15636	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA4142;f__UBA4142;g__UBA4142;s__UBA4142 sp1	GCA_002400365.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA4142;f__UBA4142;g__UBA4142;s__UBA4142 sp1	99.42	0.93	GCA_002400365.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA4142;f__UBA4142;g__UBA4142;s__UBA4142 sp1	99.42	0.93	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15094	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__GCA_002398105.1	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	100.0	0.99	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria16238	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__UBA5550;s__GCA_002425885.1	GCA_002425885.1	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__UBA5550;s__	100.0	0.99	GCA_002425885.1	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__UBA5550;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria17335	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp1	GCA_002452365.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp1	100.0	0.99	GCA_002452365.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp1	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002382135.1, s__, 95.49, 0.66
bacteria12873	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2279;s__GCA_002347365.1	GCA_002347365.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2279;s__	100.0	1.0	GCA_002347365.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2279;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08763	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae_B;g__UBA12037;s__	GCA_001831025.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae_B;g__UBA12037;s__	100.0	0.98	N/A	N/A	N/A	N/A	ANI/Placement	topological placement and ANI have incongruent species assignments	UBA12037, s__, 99.66, 0.88; GCA_001831045.1, s__, 99.64, 0.86; GCA_001830195.1, s__, 99.23, 0.79
bacteria14310	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__GCA_002382045.1	GCA_002382045.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	100.0	1.0	GCA_002382045.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria14347	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__GCA_002382785.1	GCA_002382785.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	100.0	0.99	GCA_002382785.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria00506	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter sulfurreducens	GCF_000007985.2	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter sulfurreducens	100.0	1.0	GCF_000007985.2	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter sulfurreducens	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002482655.1, s__, 95.73, 0.68
bacteria07319	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__XYB2-FULL-49-35;g__XYB2-FULL-49-35;s__GCA_001797525.1	GCA_001797525.1	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__XYB2-FULL-49-35;g__XYB2-FULL-49-35;s__	99.88	0.97	GCA_001797525.1	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__XYB2-FULL-49-35;g__XYB2-FULL-49-35;s__	99.88	0.97	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08689	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWE2-31-10;s__GCA_001829335.1	GCA_001829335.1	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWE2-31-10;s__	99.74	0.92	GCA_001829335.1	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWE2-31-10;s__	99.74	0.92	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria14315	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__GCA_002382135.1	GCA_002382135.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	100.0	0.99	GCA_002382135.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002452365.1, s__Smithella sp1, 95.38, 0.68
bacteria15534	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__GCA_002398105.1	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	99.7	0.9	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	99.7	0.9	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria14060	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium_A;s__Ruminiclostridium_A cellobioparum	GCF_000621505.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium_A;s__Ruminiclostridium_A cellobioparum	98.83	0.92	GCF_000621505.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium_A;s__Ruminiclostridium_A cellobioparum	98.83	0.92	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_000350485.1, s__Ruminiclostridium_A termitidis, 96.5, 0.86
bacteria08001	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__YA12-FULL-60-10;g__YA12-FULL-60-10;s__YA12-FULL-60-10 sp1	GCA_001803315.1	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__YA12-FULL-60-10;g__YA12-FULL-60-10;s__YA12-FULL-60-10 sp1	100.0	0.99	GCA_001803315.1	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__YA12-FULL-60-10;g__YA12-FULL-60-10;s__YA12-FULL-60-10 sp1	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07815	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__GCA_001799395.1	GCA_001799395.1	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__	100.0	0.99	GCA_001799395.1	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria22930	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus	GCF_900217235.1	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus	100.0	1.0	GCF_900217235.1	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria16029	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp1	GCA_002452365.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp1	99.56	0.89	GCA_002452365.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp1	99.56	0.89	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002382135.1, s__, 95.57, 0.68
bacteria11330	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA1318;g__UBA1318;s__GCA_002307015.1	GCA_002307015.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA1318;g__UBA1318;s__	100.0	0.99	GCA_002307015.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA1318;g__UBA1318;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria00725	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter metallireducens	GCF_000012925.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter metallireducens	100.0	1.0	GCF_000012925.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter metallireducens	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria14584	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J tunisiense	GCF_000300195.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J tunisiense	95.03	0.87	GCF_000300195.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J tunisiense	95.03	0.87	ANI/Placement	topological placement and ANI have congruent species assignments	
