accession	name	class	bioproject	biosample	genome_type	taxid	species_taxid	strain_name	specific_name	assembly_level	release_dateasm_name		submitter	ftp_path	local_filename
GCA_001897355.1	Solirubrobacterales bacterium 67-14	Thermoleophilia	PRJNA279279	SAMN05660536	na	1895832	1895832		67-14	Scaffold	12/9/16	ASM189735v1	"Banfield Lab, University of California, Berkeley"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/897/355/GCA_001897355.1_ASM189735v1	./actino/genbank/bacteria/GCA_001897355.1/GCA_001897355.1_ASM189735v1_genomic.fna.gz
GCA_001898095.1	Solirubrobacterales bacterium 70-9	Thermoleophilia	PRJNA279279	SAMN05660524	na	1895833	1895833		70-9	Scaffold	12/9/16	ASM189809v1	"Banfield Lab, University of California, Berkeley"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/898/095/GCA_001898095.1_ASM189809v1	./actino/genbank/bacteria/GCA_001898095.1/GCA_001898095.1_ASM189809v1_genomic.fna.gz
GCA_002347645.1	Thermoleophilia bacterium UBA2241	Thermoleophilia	PRJNA348753	SAMN06452690	na	1948763	1948763		UBA2241	Scaffold	9/22/17	ASM234764v1	University of Queensland	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/347/645/GCA_002347645.1_ASM234764v1	./actino/genbank/bacteria/GCA_002347645.1/GCA_002347645.1_ASM234764v1_genomic.fna.gz
GCA_002413095.1	Thermoleophilia bacterium UBA5186	Thermoleophilia	PRJNA348753	SAMN06453578	na	1948764	1948764		UBA5186	Scaffold	10/3/17	ASM241309v1	University of Queensland	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/413/095/GCA_002413095.1_ASM241309v1	./actino/genbank/bacteria/GCA_002413095.1/GCA_002413095.1_ASM241309v1_genomic.fna.gz
GCA_002423545.1	Thermoleophilia bacterium UBA6103	Thermoleophilia	PRJNA348753	SAMN06455460	na	1948765	1948765		UBA6103	Scaffold	10/4/17	ASM242354v1	University of Queensland	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/423/545/GCA_002423545.1_ASM242354v1	./actino/genbank/bacteria/GCA_002423545.1/GCA_002423545.1_ASM242354v1_genomic.fna.gz
GCA_002737265.1	Thermoleophilia bacterium	Thermoleophilia	PRJNA396997	SAMN07460800	na	2026888	2026888		Baikal-G1	Contig	10/30/17	ASM273726v1	Evolutionary Genomics Group	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/737/265/GCA_002737265.1_ASM273726v1	./actino/genbank/bacteria/GCA_002737265.1/GCA_002737265.1_ASM273726v1_genomic.fna.gz
GCF_003044185.1	Conexibacter sp. Seoho-28	Thermoleophilia	PRJNA224116	SAMN08765012	na	2133960	2133960	strain=Seoho-28		Contig	4/7/18	ASM304418v1	Korea Research Institute of Bioscience and Biotechnology	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/044/185/GCF_003044185.1_ASM304418v1	./actino/refseq/bacteria/GCF_003044185.1/GCF_003044185.1_ASM304418v1_genomic.fna.gz
GCA_003132505.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179436	na	1909295	1909295		palsa_651	Scaffold	5/18/18	20120500_P23	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/132/505/GCA_003132505.1_20120500_P23	./actino/genbank/bacteria/GCA_003132505.1/GCA_003132505.1_20120500_P23_genomic.fna.gz
GCA_003132565.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179430	na	1909295	1909295		palsa_648	Scaffold	5/18/18	20120500_P22	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/132/565/GCA_003132565.1_20120500_P22	./actino/genbank/bacteria/GCA_003132565.1/GCA_003132565.1_20120500_P22_genomic.fna.gz
GCA_003133565.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179433	na	1909295	1909295		palsa_649	Scaffold	5/18/18	20120500_P22	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/133/565/GCA_003133565.1_20120500_P22	./actino/genbank/bacteria/GCA_003133565.1/GCA_003133565.1_20120500_P22_genomic.fna.gz
GCA_003134675.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179328	na	1909295	1909295		palsa_609	Scaffold	5/18/18	20111000_P3M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/134/675/GCA_003134675.1_20111000_P3M	./actino/genbank/bacteria/GCA_003134675.1/GCA_003134675.1_20111000_P3M_genomic.fna.gz
GCA_003136735.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179239	na	1909295	1909295		bog_588	Scaffold	5/18/18	20110800_S3M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/136/735/GCA_003136735.1_20110800_S3M	./actino/genbank/bacteria/GCA_003136735.1/GCA_003136735.1_20110800_S3M_genomic.fna.gz
GCA_003137075.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179254	na	1909295	1909295		bog_593	Scaffold	5/18/18	20110800_S3S	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/137/075/GCA_003137075.1_20110800_S3S	./actino/genbank/bacteria/GCA_003137075.1/GCA_003137075.1_20110800_S3S_genomic.fna.gz
GCA_003138355.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179223	na	1909295	1909295		bog_583	Scaffold	5/18/18	20110800_S3D	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/138/355/GCA_003138355.1_20110800_S3D	./actino/genbank/bacteria/GCA_003138355.1/GCA_003138355.1_20110800_S3D_genomic.fna.gz
GCA_003139475.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179143	na	1909295	1909295		palsa_557	Scaffold	5/18/18	20110800_P3M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/139/475/GCA_003139475.1_20110800_P3M	./actino/genbank/bacteria/GCA_003139475.1/GCA_003139475.1_20110800_P3M_genomic.fna.gz
GCA_003141155.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08180178	na	1909295	1909295		palsa_805	Scaffold	5/18/18	20120800_P3M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/155/GCA_003141155.1_20120800_P3M	./actino/genbank/bacteria/GCA_003141155.1/GCA_003141155.1_20120800_P3M_genomic.fna.gz
GCA_003142975.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08180070	na	1909295	1909295		bog_798	Scaffold	5/18/18	20120700_S3X	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/142/975/GCA_003142975.1_20120700_S3X	./actino/genbank/bacteria/GCA_003142975.1/GCA_003142975.1_20120700_S3X_genomic.fna.gz
GCA_003151895.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179861	na	1909295	1909295		palsa_744	Scaffold	5/24/18	20120700_P3D	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/151/895/GCA_003151895.1_20120700_P3D	./actino/genbank/bacteria/GCA_003151895.1/GCA_003151895.1_20120700_P3D_genomic.fna.gz
GCA_003152395.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179830	na	1909295	1909295		palsa_737	Scaffold	5/24/18	20120700_P2M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/152/395/GCA_003152395.1_20120700_P2M	./actino/genbank/bacteria/GCA_003152395.1/GCA_003152395.1_20120700_P2M_genomic.fna.gz
GCA_003156675.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179633	na	1909295	1909295		palsa_691	Scaffold	5/24/18	20120600_P3M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/156/675/GCA_003156675.1_20120600_P3M	./actino/genbank/bacteria/GCA_003156675.1/GCA_003156675.1_20120600_P3M_genomic.fna.gz
GCA_003156735.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179629	na	1909295	1909295		palsa_690	Scaffold	5/24/18	20120600_P2S	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/156/735/GCA_003156735.1_20120600_P2S	./actino/genbank/bacteria/GCA_003156735.1/GCA_003156735.1_20120600_P2S_genomic.fna.gz
GCA_003156855.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179623	na	1909295	1909295		palsa_687	Scaffold	5/24/18	20120600_P2M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/156/855/GCA_003156855.1_20120600_P2M	./actino/genbank/bacteria/GCA_003156855.1/GCA_003156855.1_20120600_P2M_genomic.fna.gz
GCA_003156915.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179622	na	1909295	1909295		palsa_686	Scaffold	5/24/18	20120600_P2M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/156/915/GCA_003156915.1_20120600_P2M	./actino/genbank/bacteria/GCA_003156915.1/GCA_003156915.1_20120600_P2M_genomic.fna.gz
GCA_003157595.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179564	na	1909295	1909295		fen_676	Scaffold	5/24/18	20120600_E2D	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/157/595/GCA_003157595.1_20120600_E2D	./actino/genbank/bacteria/GCA_003157595.1/GCA_003157595.1_20120600_E2D_genomic.fna.gz
GCA_003159535.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08180051	na	1909295	1909295		bog_792	Scaffold	5/24/18	20120700_S3D	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/159/535/GCA_003159535.1_20120700_S3D	./actino/genbank/bacteria/GCA_003159535.1/GCA_003159535.1_20120700_S3D_genomic.fna.gz
GCA_003161445.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08178797	na	1909295	1909295		palsa_464	Scaffold	5/25/18	20110600_P3S	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/161/445/GCA_003161445.1_20110600_P3S	./actino/genbank/bacteria/GCA_003161445.1/GCA_003161445.1_20110600_P3S_genomic.fna.gz
GCA_003164875.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08179921	na	1909295	1909295		palsa_751	Scaffold	5/25/18	20120700_P3M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/164/875/GCA_003164875.1_20120700_P3M	./actino/genbank/bacteria/GCA_003164875.1/GCA_003164875.1_20120700_P3M_genomic.fna.gz
GCA_003165655.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08178798	na	1909295	1909295		palsa_465	Scaffold	5/25/18	20110600_P3S	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/165/655/GCA_003165655.1_20110600_P3S	./actino/genbank/bacteria/GCA_003165655.1/GCA_003165655.1_20110600_P3S_genomic.fna.gz
GCA_003167135.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08178931	na	1909295	1909295		palsa_514	Scaffold	5/25/18	20110700_P2M	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/167/135/GCA_003167135.1_20110700_P2M	./actino/genbank/bacteria/GCA_003167135.1/GCA_003167135.1_20110700_P2M_genomic.fna.gz
GCA_003168035.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA386568	SAMN08178924	na	1909295	1909295		palsa_513	Scaffold	5/25/18	20110700_P2D	"Australian Centre for Ecogenomics, The University of Queensland"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/168/035/GCA_003168035.1_20110700_P2D	./actino/genbank/bacteria/GCA_003168035.1/GCA_003168035.1_20110700_P2D_genomic.fna.gz
GCA_003244035.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA471400	SAMN09209443	na	1909295	1909295		RRmetagenome_bin11	Scaffold	6/18/18	ASM324403v1	"nstitute of Tibetan Plateau Research, Chinese Academy of Sciences"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/244/035/GCA_003244035.1_ASM324403v1	./actino/genbank/bacteria/GCA_003244035.1/GCA_003244035.1_ASM324403v1_genomic.fna.gz
GCA_003244205.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA471400	SAMN09209442	na	1909295	1909295		RRmetagenome_bin10	Scaffold	6/18/18	ASM324420v1	"nstitute of Tibetan Plateau Research, Chinese Academy of Sciences"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/244/205/GCA_003244205.1_ASM324420v1	./actino/genbank/bacteria/GCA_003244205.1/GCA_003244205.1_ASM324420v1_genomic.fna.gz
GCF_900108055.1	Thermoleophilum album	Thermoleophilia	PRJNA224116	SAMN02745716	representative genome	29539	29539	strain=ATCC 35263		Scaffold	10/27/16	IMG-taxon 2597490378 annotated assembly	DOE - JOINT GENOME INSTITUTE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/055/GCF_900108055.1_IMG-taxon_2597490378_annotated_assembly	./actino/refseq/bacteria/GCF_900108055.1/GCF_900108055.1_IMG-taxon_2597490378_annotated_assembly_genomic.fna.gz
GCF_000014185.1	Rubrobacter xylanophilus DSM 9941	Rubrobacteria	PRJNA224116	SAMN02598258	representative genome	266117	49319	strain=DSM 9941		Complete Genome	6/9/06	ASM1418v1	DOE Joint Genome Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/185/GCF_000014185.1_ASM1418v1	./actino/refseq/bacteria/GCF_000014185.1/GCF_000014185.1_ASM1418v1_genomic.fna.gz
GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331	Acidimicrobiia	PRJNA224116	SAMN02598466	representative genome	525909	53635	strain=DSM 10331		Complete Genome	8/18/09	ASM2326v1	US DOE Joint Genome Institute (JGI-PGF)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/265/GCF_000023265.1_ASM2326v1	./actino/refseq/bacteria/GCF_000023265.1/GCF_000023265.1_ASM2326v1_genomic.fna.gz
GCF_000023845.1	Cryptobacterium curtum DSM 15641	Coriobacteriia	PRJNA224116	SAMN02598434	representative genome	469378	84163	strain=DSM 15641		Complete Genome	8/26/09	ASM2384v1	US DOE Joint Genome Institute (JGI-PGF)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/845/GCF_000023845.1_ASM2384v1	./actino/refseq/bacteria/GCF_000023845.1/GCF_000023845.1_ASM2384v1_genomic.fna.gz
GCF_000023885.1	Slackia heliotrinireducens DSM 20476	Coriobacteriia	PRJNA224116	SAMN02598438	representative genome	471855	84110	strain=DSM 20476		Complete Genome	8/28/09	ASM2388v1	US DOE Joint Genome Institute (JGI-PGF)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/885/GCF_000023885.1_ASM2388v1	./actino/refseq/bacteria/GCF_000023885.1/GCF_000023885.1_ASM2388v1_genomic.fna.gz
GCF_000024225.1	Atopobium parvulum DSM 20469	Coriobacteriia	PRJNA224116	SAMN00001907	representative genome	521095	1382	strain=DSM 20469		Complete Genome	9/9/09	ASM2422v1	US DOE Joint Genome Institute (JGI-PGF)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/225/GCF_000024225.1_ASM2422v1	./actino/refseq/bacteria/GCF_000024225.1/GCF_000024225.1_ASM2422v1_genomic.fna.gz
GCF_000024265.1	Eggerthella lenta DSM 2243	Coriobacteriia	PRJNA224116	SAMN00002594	representative genome	479437	84112	strain=DSM 2243		Complete Genome	9/9/09	ASM2426v1	US DOE Joint Genome Institute (JGI-PGF)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/265/GCF_000024265.1_ASM2426v1	./actino/refseq/bacteria/GCF_000024265.1/GCF_000024265.1_ASM2426v1_genomic.fna.gz
GCF_000143845.1	Olsenella uli DSM 7084	Coriobacteriia	PRJNA224116	SAMN00016989	representative genome	633147	133926	strain=DSM 7084		Complete Genome	7/26/10	ASM14384v1	US DOE Joint Genome Institute (JGI-PGF)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/845/GCF_000143845.1_ASM14384v1	./actino/refseq/bacteria/GCF_000143845.1/GCF_000143845.1_ASM14384v1_genomic.fna.gz
GCF_000156175.1	Collinsella intestinalis DSM 13280	Coriobacteriia	PRJNA224116	SAMN00008813	representative genome	521003	147207	strain=DSM 13280		Scaffold	6/22/09	ASM15617v1	Washington University Genome Sequencing Center	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/175/GCF_000156175.1_ASM15617v1	./actino/refseq/bacteria/GCF_000156175.1/GCF_000156175.1_ASM15617v1_genomic.fna.gz
GCF_000156215.1	Collinsella stercoris DSM 13279	Coriobacteriia	PRJNA224116	SAMN00008814	representative genome	445975	147206	strain=DSM 13279		Scaffold	10/9/08	ASM15621v1	Washington University Genome Sequencing Center	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/215/GCF_000156215.1_ASM15621v1	./actino/refseq/bacteria/GCF_000156215.1/GCF_000156215.1_ASM15621v1_genomic.fna.gz
