genome_name,original_name,genome_size,completeness,redundancy,GC.,taxonomy,ncbi_taxonomy,Phylum,Group,gtdb_taxonomy,Strain,BioSample,BioProject,Level,Scaffolds,Release.Date,Study,Environment,Code
archaea00331,GCA_002495065.1,2.42,86.56427015,0.653594771,50.1,Methanoregula sp. UBA471,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA471,SAMN06027617,PRJNA348753,Scaffold,78,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00357,GCA_002495585.1,2.13,95.16129032,0.806451613,59.6,Methanomassiliicoccus sp. UBA292,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA292,SAMN06027253,PRJNA348753,Scaffold,37,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00366,GCA_002495775.1,2.01,82.48366013,0.897603486,55.3,Methanoregula sp. UBA244,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA244,SAMN06027639,PRJNA348753,Scaffold,104,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00394,GCA_002496345.1,1.96,94.90281224,0,60.3,Methanomassiliicoccus sp. UBA382,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA382,SAMN06027526,PRJNA348753,Scaffold,30,2017-10-10T00:00:00Z,Parks2017,LIquor_fermentation,Sediment
archaea00420,GCA_002496855.1,2.29,96.40522876,5.061169767,53.4,Methanolinea sp. UBA145,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__,UBA145,SAMN06027034,PRJNA348753,Scaffold,89,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00449,GCA_002497445.1,1.98,63.90145802,0,48.3,Methanoregula sp. UBA450,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA450,SAMN06027137,PRJNA348753,Scaffold,220,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00477,GCA_002497995.1,2.01,97.58064516,0.806451613,60.1,Methanomassiliicoccus sp. UBA393,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA393,SAMN06027317,PRJNA348753,Scaffold,84,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00491,GCA_002498285.1,1.83,84.71768752,0,58.7,Methanomassiliicoccus sp. UBA386,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA386,SAMN06027522,PRJNA348753,Scaffold,110,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00492,GCA_002498295.1,2.29,89.86928105,0.754147813,55.9,Methanoregula sp. UBA434,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA434,SAMN06027558,PRJNA348753,Scaffold,66,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00496,GCA_002498375.1,1.56,96.88741722,0,50.9,Methanocorpusculum sp. UBA424,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__,UBA424,SAMN06027378,PRJNA348753,Scaffold,15,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00512,GCA_002498705.1,1.6,96.86092715,0.662251656,50.4,Methanocorpusculum sp. UBA362,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__,UBA362,SAMN06027076,PRJNA348753,Scaffold,28,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00518,GCA_002498825.1,2.51,96.40522876,0,53.1,Methanolinea sp. UBA437,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__,UBA437,SAMN06027559,PRJNA348753,Scaffold,129,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00529,GCA_002499025.1,2.16,91.44461203,0,56,Methanoregula sp. UBA143,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA143,SAMN06027032,PRJNA348753,Scaffold,78,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00568,GCA_002499825.1,2.67,98.36601307,2.614379085,52.9,Methanolinea sp. UBA245,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__,UBA245,SAMN06027640,PRJNA348753,Scaffold,127,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00572,GCA_002499905.1,1.95,99.67320261,1.307189542,57.4,Methanolinea sp. UBA277,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__UBA9949;s__,UBA277,SAMN06027535,PRJNA348753,Scaffold,28,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00595,GCA_002502005.1,1.92,85.84454312,0.806451613,58.7,Methanomassiliicoccus sp. UBA321,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA321,SAMN06027629,PRJNA348753,Scaffold,151,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00606,GCA_002502245.1,2.25,86.60130719,0,55.8,Methanoregula sp. UBA154,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA154,SAMN06027506,PRJNA348753,Scaffold,33,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00631,GCA_002502735.1,2.38,99.54248366,1.307189542,56.4,Methanoregula sp. UBA64,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA64,SAMN06027271,PRJNA348753,Scaffold,12,2017-10-10T00:00:00Z,Parks2017,Wetland_sediment,Wetland
archaea00643,GCA_002502975.1,2.43,94.44444444,1.437908497,52.9,Methanolinea sp. UBA451,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__,UBA451,SAMN06027327,PRJNA348753,Scaffold,94,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Engineered
archaea00669,GCA_002503495.1,1.92,84.65260546,2.419354839,59.3,Methanomassiliicoccus sp. UBA335,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA335,SAMN06027487,PRJNA348753,Scaffold,104,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00676,GCA_002503645.1,1.85,79.25623612,0,58.9,Methanomassiliicoccus sp. UBA315,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA315,SAMN06027165,PRJNA348753,Scaffold,187,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00685,GCA_002503825.1,2.84,99.67320261,1.307189542,50.9,Methanoregulaceae archaeon UBA467,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__,UBA467,SAMN06027139,PRJNA348753,Scaffold,17,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00704,GCA_002504525.1,2.13,95.03722084,0,60,Methanomassiliicoccus sp. UBA345,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA345,SAMN06027443,PRJNA348753,Scaffold,35,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00738,GCA_002505225.1,2.26,92.75009795,0,59.5,Methanomassiliicoccus sp. UBA429,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA429,SAMN06027385,PRJNA348753,Scaffold,18,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00781,GCA_002506085.1,1.81,97.7124183,0.653594771,47.8,Methanocorpusculaceae archaeon UBA425,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__,UBA425,SAMN06027379,PRJNA348753,Scaffold,28,2017-10-10T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00783,GCA_002506105.1,2.23,93.79084967,0,53.3,Methanolinea sp. UBA275,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__,UBA275,SAMN06027537,PRJNA348753,Scaffold,67,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00784,GCA_002506145.1,2.17,85.51198257,0,56,Methanoregula sp. UBA274,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA274,SAMN06027538,PRJNA348753,Scaffold,91,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00816,GCA_002506785.1,2.48,95.66783979,0.326797386,55.7,Methanoregula sp. UBA452,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA452,SAMN06027326,PRJNA348753,Scaffold,85,2017-10-10T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Engineered
archaea00857,GCA_002508425.1,2.47,95.26143791,2.941176471,41,Methanosarcinaceae archaeon UBA470,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__,UBA470,SAMN06027602,PRJNA348753,Scaffold,182,2017-10-11T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00859,GCA_002508465.1,4.26,88.99346405,0.653594771,39,Methanosarcina sp. UBA7,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__,UBA7,SAMN06027403,PRJNA348753,Scaffold,293,2017-10-11T00:00:00Z,Parks2017,Wetland_fuel_cell,Wetland
archaea00861,GCA_002508495.1,1.93,68.62745098,0.871459695,55.7,Methanoregula sp. UBA276,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,UBA276,SAMN06027536,PRJNA348753,Scaffold,135,2017-10-11T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00863,GCA_002508545.1,2.36,97.31182796,0.806451613,62.7,Methanomassiliicoccus sp. UBA6,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__UBA10881;s__,UBA6,SAMN06027402,PRJNA348753,Scaffold,68,2017-10-11T00:00:00Z,Parks2017,Wetland_fuel_cell,Wetland
archaea00864,GCA_002508555.1,1.81,89.33002481,0,60.2,Methanomassiliicoccus sp. UBA364,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA364,SAMN06027078,PRJNA348753,Scaffold,55,2017-10-11T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00865,GCA_002508585.1,1.88,88.30024814,0.806451613,58.9,Methanomassiliicoccus sp. UBA360,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__,UBA360,SAMN06027074,PRJNA348753,Scaffold,144,2017-10-11T00:00:00Z,Parks2017,Liquor_fermentation,Sediment
archaea00911,GCA_002509495.1,2.2,92.32026144,0,56.3,Methanolinea sp. UBA473,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__,UBA473,SAMN06027619,PRJNA348753,Scaffold,131,2017-10-11T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00912,GCA_002509505.1,2.45,97.07977208,1.960784314,53.4,Methanolinea sp. UBA155,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__,UBA155,SAMN06027507,PRJNA348753,Scaffold,170,2017-10-11T00:00:00Z,Parks2017,Hydrocarbon_Contaminated_Site,Hydrocarbon_Contaminated_Site
archaea00943,GCA_003135935.1,2.08,94.23076923,0.806451613,53.6,Methanomassiliicoccaceae archaeon,Archaea;Euryarchaeota;Diaforarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__;g__;s__,Wetland_33,SAMN08179069,PRJNA386568,Scaffold,176,2018-05-18T00:00:00Z,Woodcroft2018,Permafrost_Wetland,Wetland
archaea00944,GCA_003136075.1,2.16,92.19808949,5.22875817,50.5,Methanoregula sp.,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,Wetland_60,SAMN08179713,PRJNA386568,Scaffold,197,2018-05-18T00:00:00Z,Woodcroft2018,Permafrost_Wetland,Wetland
archaea00966,GCA_003153835.1,1.92,76.96732026,0,47.5,Methanoregula sp.,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,Wetland_66,SAMN08179794,PRJNA386568,Scaffold,259,2018-05-24T00:00:00Z,Woodcroft2018,Permafrost_Wetland,Wetland
archaea00981,GCA_003157895.1,2.03,90.28104575,0.163398693,53.6,Methanoregula sp.,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,Wetland_47,SAMN08179543,PRJNA386568,Scaffold,205,2018-05-24T00:00:00Z,Woodcroft2018,Permafrost_Wetland,Wetland
archaea01023,GCA_003170075.1,1.92,99.54248366,1.525054466,55,Methanoregula sp.,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,Wetland_34,SAMN08179087,PRJNA386568,Scaffold,77,2018-05-25T00:00:00Z,Woodcroft2018,Permafrost_Wetland,Wetland
archaea01029,GCA_003170975.1,2.05,83.87330317,1.836768896,53.5,Methanoregula sp.,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,Wetland_24,SAMN08179035,PRJNA386568,Scaffold,182,2018-05-25T00:00:00Z,Woodcroft2018,Permafrost_Wetland,Wetland
bacteria01060v2,M_DeepCast_400m_m1_009,2.4,95.64516129,6.129032258,NA,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__,NA,SAMN10966753,PRJNA523022,NA,NA,NA,Tran_unpublished,Freshwater,Freshwater
bacteria00190,2582580680,2.53,75.14367816,0.287356322,NA,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__;s__,NA,NA,NA,NA,NA,NA,Trout_Wetland,Freshwater,Freshwater
bacteria00193,2582580684,3.07,77.19298246,0,NA,Proteobacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__;s__,NA,NA,NA,NA,NA,NA,Trout_Wetland,Freshwater,Freshwater
bacteria00203,2582580694,2.54,63.94984326,0,NA,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,NA,NA,NA,NA,NA,NA,Trout_Wetland,Freshwater,Freshwater
bacteria00229,2593339183,3.8,93.36419753,0,NA,Proteobacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,NA,NA,NA,NA,NA,NA,Trout_Wetland,Freshwater,Freshwater
bacteria00506,GCA_000007985.2,3.81,99.35483871,0,60.9,Geobacter sulfurreducens PCA ,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__,PCA,SAMN02603989,PRJNA192,Complete,1,2002-02-14T00:00:00Z,Reference,Reference,Isolate
bacteria00725,GCA_000012925.1,4.01,99.41628264,0,59.476,Geobacter metallireducens GS-15 ,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__,GS-15,SAMN02598399,PRJNA177,Complete,2,2005-10-27T00:00:00Z,Reference,Reference,Isolate
bacteria00749,GCA_000013405.1,3.18,96.42857143,3.870967742,51.5,Syntrophus aciditrophicus SB ,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__,SB,SAMN02603418,PRJNA16258,Complete,1,2006-01-26T00:00:00Z,Reference,Reference,Isolate
bacteria00897,GCA_000016745.1,5.14,97.66001024,0,54.2,Geobacter uraniireducens Rf4 ,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_B;s__,Rf4,SAMN02598352,PRJNA15768,Complete,1,2007-05-11T00:00:00Z,Reference,Reference,Isolate
bacteria01071,GCA_000020725.1,4.62,99.78494624,0,60.3,Geobacter bemidjiensis Bem ,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__,Bem,SAMN02598400,PRJNA17707,Complete,1,2008-08-19T00:00:00Z,Reference,Reference,Isolate
