genome_name,name,Completeness,Contamination,ncbi_lineage,gtdb_taxonomy,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_007244375.1,Smithella sp.,96.77,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp001412345,Deltaproteobacteria,Deltaproteobacteria,SDB_sulfate1,SAMN10715446,PRJNA505347,LCFA metagenome,Liang et al. 2019,Engineered,GCA_007244375.1,Contig,3.10379,41.4,,SCVW01,58,0,2019-07-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/244/375/GCA_007244375.1_ASM724437v1,
GCA_003161895.1,Bacteroidales bacterium,86.54,1.77,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003157015,Bacteroidetes,Bacteroidetes,fen_945,SAMN08178755,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003161895.1,Scaffold,4.48169,38,,PMNI01,459,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/161/895/GCA_003161895.1_20100900_E3D,
GCA_002779905.1,Syntrophobacterales bacterium CG03_land_8_20_14_0_80_58_14,95.81,1.51,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__UBA5619 sp001873745,Deltaproteobacteria,Deltaproteobacteria,CG03_land_8_20_14_0_80_58_14,SAMN06659206,PRJNA362739,aquifer metagenome,Probst et al. 2036,Subsurface,GCA_002779905.1,Scaffold,3.48081,57.6,,PEVF01,347,3375,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/779/905/GCA_002779905.1_ASM277990v1,
GCA_000429965.1,Desulfobulbus mediterraneus DSM 13871,100,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus_A;s__Desulfobulbus_A mediterraneus,Deltaproteobacteria,Deltaproteobacteria,DSM 13871,SAMN02441536,PRJNA185577,JGI Isolate sequencing,NA,Isolate,GCA_000429965.1,Scaffold,4.79681,57.6,,AUCW01,68,3897,2013-07-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/429/965/GCA_000429965.1_ASM42996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/429/965/GCF_000429965.1_ASM42996v1
GCA_001796335.1,Chloroflexi bacterium GWB2_49_20,99.09,0.91,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__UBA12087;s__UBA12087 sp001796335,Chloroflexi,Chloroflexi,,SAMN04313846,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001796335.1,Scaffold,3.37489,48.3,,MGMF01,28,3038,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/796/335/GCA_001796335.1_ASM179633v1,
GCA_002402945.1,Pelotomaculum sp. UBA4789,91.48,2.31,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__UBA4789;s__UBA4789 sp002402945,Firmicutes,Firmicutes,UBA4789,SAMN06455484,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002402945.1,Scaffold,1.93405,49.1,,DHGV01,122,0,2017-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/402/945/GCA_002402945.1_ASM240294v1,
GCA_002009335.2,Desulfococcus multivorans,98.39,1.94,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__Desulfococcus;s__Desulfococcus multivorans,Deltaproteobacteria,Deltaproteobacteria,DSM 2059,SAMN06392868,PRJNA376441,Isolate sequencing,NA,Isolate,GCA_002009335.2,Complete,4.45598,56.8,chromosome:NZ_CP019913.2/CP019913.2,,1,3810,2017-03-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/009/335/GCA_002009335.2_ASM200933v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/009/335/GCF_002009335.2_ASM200933v2
GCA_003138675.1,Syntrophaceae bacterium,94.28,1.94,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775,Deltaproteobacteria,Deltaproteobacteria,bog_1109,SAMN08179199,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003138675.1,Scaffold,3.2491,43.3,,PLGU01,281,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/138/675/GCA_003138675.1_20110800_S2M,
GCA_002841885.1,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-18,99.98,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium sp002841885,Deltaproteobacteria,Deltaproteobacteria,HGW-Deltaproteobacteria-18,SAMN06767646,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002841885.1,Scaffold,3.99036,58.5,,PHBE01,37,3486,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/885/GCA_002841885.1_ASM284188v1,
GCA_002298725.1,Desulfovibrio sp. UBA728,77.15,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus,Deltaproteobacteria,Deltaproteobacteria,UBA728,SAMN06452898,PRJNA348753,Parks 2017 UBA reassembly,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,Marine,GCA_002298725.1,Scaffold,3.11972,52.5,,DBLI01,330,0,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/298/725/GCA_002298725.1_ASM229872v1,
GCA_002782185.1,Nitrospirae bacterium CG_4_8_14_3_um_filter_44_28,90.32,0.23,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001871685,Nitrospirae,Nitrospirae,CG_4_8_14_3_um_filter_44_28,SAMN06659943,PRJNA362739,aquifer metagenome,Probst et al. 2023,Subsurface,GCA_002782185.1,Scaffold,1.89707,43.8,,PFHG01,201,2007,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/782/185/GCA_002782185.1_ASM278218v1,
GCA_003141895.1,Bacteroidales bacterium,98.79,2.14,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003141895,Bacteroidetes,Bacteroidetes,fen_974,SAMN08180096,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003141895.1,Scaffold,4.01093,38,,PLNT01,46,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/895/GCA_003141895.1_20120800_E1X,
GCA_002345925.1,Actinobacteria bacterium UBA2286,90.21,1.81,Bacteria;Terrabacteria group;Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2286;s__UBA2286 sp002345925,Actinobacteria,Actinobacteria,UBA2286,SAMN06452305,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002345925.1,Scaffold,2.46542,61.8,,DDWM01,75,0,2017-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/345/925/GCA_002345925.1_ASM234592v1,
GCA_002380925.1,Bacteroidales bacterium UBA4133,68.19,2.14,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA5072;g__UBA5072;s__UBA5072 sp002415855,Bacteroidetes,Bacteroidetes,UBA4133,SAMN06453742,PRJNA348753,Parks 2017 UBA reassembly,Wetlands Surface Sediment Feb2011 Site A1 Bulk Project,Wetlands,GCA_002380925.1,Scaffold,2.84302,45.7,,DFWN01,210,0,2017-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/380/925/GCA_002380925.1_ASM238092v1,
GCA_001771585.1,candidate division WOR-1 bacterium RIFOXYB2_FULL_46_45,88.46,0.85,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp001771585,WOR1,Other,,SAMN04314413,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001771585.1,Contig,1.6989,46.3,,MEUE01,4,1650,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/771/585/GCA_001771585.1_ASM177158v1,
GCA_002840635.1,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-1,83.5,3.87,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__UBA8904 sp002840635,Deltaproteobacteria,Deltaproteobacteria,HGW-Deltaproteobacteria-1,SAMN06767637,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002840635.1,Scaffold,3.30498,47.8,,PHBN01,558,3320,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/635/GCA_002840635.1_ASM284063v1,
GCA_001874005.1,Desulfobacteraceae bacterium CG2_30_51_40,95.81,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__CG2-30-51-40;g__CG2-30-51-40;s__CG2-30-51-40 sp001874005,Deltaproteobacteria,Deltaproteobacteria,CG2_30_51_40,SAMN04328281,PRJNA297582,groundwater metagenome/Subsurface,Probst et al. 2017,Subsurface,GCA_001874005.1,Scaffold,3.43977,50.7,,MNYJ01,229,2980,2016-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/005/GCA_001874005.1_ASM187400v1,
GCA_003142575.1,Ignavibacteriae bacterium,95.61,5.94,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003142575,Chlorobi,Chlorobi,fen_1299,SAMN08180123,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003142575.1,Scaffold,3.28498,43.5,,PLMS01,152,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/142/575/GCA_003142575.1_20120800_E2X,
GCA_001611275.1,Desulfuromonas sp. DDH964,99.35,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__DDH964;g__DDH964;s__DDH964 sp001611275,Deltaproteobacteria,Deltaproteobacteria,DDH964,SAMN04590833,PRJNA316855,Isolate sequencing,NA,Isolate,GCA_001611275.1,Complete,3.92465,62.2,chromosome:NZ_CP015080.1/CP015080.1,,1,3507,2016-04-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/275/GCA_001611275.1_ASM161127v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/611/275/GCF_001611275.1_ASM161127v1
GCA_003141555.1,Candidatus Aminicenantes bacterium,93.85,3.42,Bacteria;unclassified Bacteria;Bacteria candidate phyla,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__FEN-413;s__FEN-413 sp003141555,Candidatus Aminicenantes,Other,fen_413,SAMN08180128,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003141555.1,Scaffold,3.79298,62.8,,PLMN01,33,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/555/GCA_003141555.1_20120800_E2X,
GCA_002798115.1,Desulfofaba hansenii,99.33,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfofaba;s__Desulfofaba hansenii,Deltaproteobacteria,Deltaproteobacteria,P1,SAMN07546017,PRJNA399707,Isolate sequencing,Abildegaard et al. 2004,Isolate,GCA_002798115.1,Scaffold,6.71124,53,,PESK01,214,5239,2017-11-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/798/115/GCA_002798115.1_ASM279811v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/798/115/GCF_002798115.1_ASM279811v1
GCA_000512235.1,Syntrophorhabdus aromaticivorans UI,94.12,5.46,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__Syntrophorhabdus aromaticivorans,Deltaproteobacteria,Deltaproteobacteria,UI,SAMN02597160,PRJNA63195,JGI Isolate sequencing,Nobu et al. 2014,Isolate,GCA_000512235.1,Scaffold,3.75948,52,,AJUN01,3,3427,2013-12-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/235/GCA_000512235.1_ASM51223v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/235/GCF_000512235.1_ASM51223v1
GCA_000384015.1,Desulfitobacterium sp. PCE1,98.72,3.74,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium dehalogenans,Firmicutes,Firmicutes,PCE1,SAMN02261278,PRJNA74961,JGI Isolate sequencing,NA,Isolate,GCA_000384015.1,Scaffold,4.22058,45,,AQZF01,1,3873,2013-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/384/015/GCA_000384015.1_ASM38401v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/384/015/GCF_000384015.1_ASM38401v1
GCA_001799395.1,Desulfobacterales bacterium RIFOXYA12_FULL_46_15,97.42,0.99,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__Desulfobacula sp001799395,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314398,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001799395.1,Scaffold,4.73857,45.3,,MGTJ01,250,4033,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/799/395/GCA_001799395.1_ASM179939v1,
GCA_002402545.1,Syntrophaceae bacterium UBA4810,81.84,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__UBA4810 sp002402545,Deltaproteobacteria,Deltaproteobacteria,UBA4810,SAMN06454093,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002402545.1,Scaffold,2.31165,44.6,,DHGA01,109,0,2017-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/402/545/GCA_002402545.1_ASM240254v1,
GCA_003159065.1,Myxococcales bacterium,82.03,2.46,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__FEN-1139;s__FEN-1139 sp003154095,Deltaproteobacteria,Deltaproteobacteria,fen_1117,SAMN08179528,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003159065.1,Scaffold,8.32803,57,,PMLL01,927,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/159/065/GCA_003159065.1_20120600_E1D,
GCA_002347685.1,Syntrophaceae bacterium UBA2280,96.77,5.48,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__UBA8904 sp002347685,Deltaproteobacteria,Deltaproteobacteria,UBA2280,SAMN06452307,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002347685.1,Scaffold,3.86828,51.6,,DDWS01,71,0,2017-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/347/685/GCA_002347685.1_ASM234768v1,
GCA_001516045.1,Desulfosporosinus sp. BRH_c37,94.49,4.08,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp001516045,Firmicutes,Firmicutes,BRH_c37,SAMN04126958,PRJNA257561,rock porewater metagenome, deep Subsurface,NA,Subsurface,GCA_001516045.1,Contig,6.23425,42,,LOEW01,313,5288,2016-01-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/045/GCA_001516045.1_41k,
GCA_000300195.1,Clostridium tunisiense TJ,97.12,2.88,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J tunisiense,Firmicutes,Firmicutes,TJ,SAMN02472167,PRJNA175408,Isolate sequencing,Sun et al. 2012,Isolate,GCA_000300195.1,Contig,4.30839,31.2,,AMQH01,60,3794,2012-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/195/GCA_000300195.1_ASM30019v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/195/GCF_000300195.1_ASM30019v1
GCA_002420525.1,Desulfobacteraceae bacterium UBA5681,95.16,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__UBA2156;s__UBA2156 sp002328165,Deltaproteobacteria,Deltaproteobacteria,UBA5681,SAMN06455111,PRJNA348753,Parks 2017 UBA reassembly,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,Marine,GCA_002420525.1,Scaffold,2.87649,45.8,,DIIB01,71,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/420/525/GCA_002420525.1_ASM242052v1,
