user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
GCA_002779905.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__UBA5619 sp001873745	GCA_001873745.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__UBA5619 sp001873745	99.53	0.85	GCA_001873745.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__UBA5619 sp001873745	99.53	0.85	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003141195.1, s__UBA5619 sp003141195, 95.0, 85.82, 0.52; GCA_002423465.1, s__UBA5619 sp002423465, 95.0, 82.23, 0.41; GCA_001830835.1, s__UBA5619 sp001830835, 95.0, 81.54, 0.5; GCA_002424545.1, s__UBA5619 sp002424545, 95.0, 80.42, 0.43; GCA_001829875.1, s__UBA5619 sp001829875, 95.0, 80.34, 0.42	94.09	11	N/A	N/A
GCA_000429965.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus_A;s__Desulfobulbus_A mediterraneus	GCF_000429965.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus_A;s__Desulfobulbus_A mediterraneus	100.0	1.0	GCF_000429965.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus_A;s__Desulfobulbus_A mediterraneus	100.0	1.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002748755.1, s__Desulfobulbus_A propionicus_B, 95.0, 77.2, 0.09; GCF_000429945.1, s__Desulfobulbus_A japonicus, 95.0, 77.04, 0.06; GCA_002746685.1, s__Desulfobulbus_A propionicus_C, 95.0, 76.72, 0.18	96.35	11	N/A	N/A
GCA_001796335.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__UBA12087;s__UBA12087 sp001796335	GCA_001796335.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__UBA12087;s__UBA12087 sp001796335	100.0	1.0	GCA_001796335.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__UBA12087;s__UBA12087 sp001796335	100.0	1.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	96.01	11	N/A	N/A
GCA_002402945.1	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__UBA4789;s__UBA4789 sp002402945	GCA_002402945.1	95.0	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__UBA4789;s__UBA4789 sp002402945	100.0	0.99	GCA_002402945.1	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__UBA4789;s__UBA4789 sp002402945	100.0	0.99	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	81.25	11	N/A	N/A
GCA_002009335.2	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__Desulfococcus;s__Desulfococcus multivorans	GCF_001854245.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__Desulfococcus;s__Desulfococcus multivorans	100.0	1.0	GCF_001854245.1	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__Desulfococcus;s__Desulfococcus multivorans	100.0	1.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	96.23	11	N/A	N/A
GCA_003138675.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775	GCA_003139775.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775	99.83	0.96	GCA_003139775.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775	99.83	0.96	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003141615.1, s__Smithella sp003141615, 95.0, 88.87, 0.66; GCA_002327415.1, s__Smithella sp002327415, 95.0, 82.77, 0.65; GCA_000753945.1, s__Smithella sp000753945, 95.0, 81.29, 0.49; GCA_000747625.2, s__Smithella sp000747625, 95.0, 81.24, 0.45; GCA_002840505.1, s__Smithella sp002840505, 95.0, 80.77, 0.48; GCA_002840555.1, s__Smithella sp002840555, 95.0, 80.11, 0.45; GCA_001683985.1, s__Smithella sp001683985, 95.0, 78.51, 0.38; GCA_001412345.1, s__Smithella sp001412345, 95.0, 78.43, 0.32; GCA_002441205.1, s__Smithella sp002441205, 95.0, 77.39, 0.21	92.02	11	N/A	N/A
GCA_002841885.1	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium sp002841885	GCA_002841885.1	95.0	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium sp002841885	100.0	1.0	GCA_002841885.1	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium sp002841885	100.0	1.0	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_900114595.1, s__Desulfomicrobium norvegicum, 95.0, 89.17, 0.8; GCF_900114115.1, s__Desulfomicrobium apsheronum, 95.0, 88.88, 0.77; GCF_000023225.1, s__Desulfomicrobium baculatum, 95.0, 87.08, 0.76; GCA_002412965.1, s__Desulfomicrobium sp002412965, 95.0, 83.03, 0.65; GCF_000428825.1, s__Desulfomicrobium escambiense, 95.0, 82.06, 0.61; GCA_003542385.1, s__Desulfomicrobium sp003542385, 95.0, 81.91, 0.67; GCF_001553625.1, s__Desulfomicrobium orale, 95.0, 78.59, 0.34	96.63	11	N/A	N/A
GCA_002298725.1	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus	GCF_900217235.1	95.0	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus	97.98	0.91	GCF_900217235.1	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio profundus	97.98	0.91	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_001563225.1, s__Pseudodesulfovibrio indicus, 95.0, 78.25, 0.27; GCF_000341895.1, s__Pseudodesulfovibrio piezophilus, 95.0, 77.86, 0.2; GCF_001874525.1, s__Pseudodesulfovibrio dechloracetivorans, 95.0, 77.8, 0.26; GCF_000189295.2, s__Pseudodesulfovibrio desulfuricans, 95.0, 77.78, 0.25; GCF_000176915.2, s__Pseudodesulfovibrio aespoeensis, 95.0, 77.78, 0.25; GCF_000375485.1, s__Pseudodesulfovibrio oxyclinae, 95.0, 76.99, 0.14; GCF_001311825.1, s__Pseudodesulfovibrio brasiliensis, 95.0, 76.98, 0.13	63.47	11	N/A	N/A
GCA_002782185.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001871685	GCA_001871685.1	95.0	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001871685	99.53	0.81	GCA_001871685.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001871685	99.53	0.81	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001805105.1, s__UBA1546 sp001805105, 95.0, 87.27, 0.74; GCA_003535475.1, s__UBA1546 sp003535475, 95.0, 85.68, 0.6	87.08	11	N/A	N/A
GCA_003141895.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003141895	GCA_003141895.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003141895	100.0	1.0	GCA_003141895.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003141895	100.0	1.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003141715.1, s__LD21 sp003141715, 95.0, 79.1, 0.41; GCA_003157015.1, s__LD21 sp003157015, 95.0, 78.87, 0.35; GCA_003141415.1, s__LD21 sp003141415, 95.0, 78.78, 0.4; GCA_003162595.1, s__LD21 sp003162595, 95.0, 78.77, 0.38; GCA_003141525.1, s__LD21 sp003141525, 95.0, 78.54, 0.37; GCA_003141495.1, s__LD21 sp003141495, 95.0, 78.47, 0.38; GCA_002319885.1, s__LD21 sp002319885, 95.0, 78.09, 0.29; GCA_003157075.1, s__LD21 sp003157075, 95.0, 77.88, 0.25; GCA_001768195.1, s__LD21 sp001768195, 95.0, 77.04, 0.12; GCA_003142255.1, s__LD21 sp003142255, 95.0, 76.88, 0.11; GCA_003152835.1, s__LD21 sp003152835, 95.0, 76.62, 0.11; GCA_003157055.1, s__LD21 sp003157055, 95.0, 76.61, 0.11; GCA_003520925.1, s__LD21 sp003520925, 95.0, 76.45, 0.08; GCA_002424525.1, s__LD21 sp002424525, 95.0, 76.39, 0.05; GCA_003155705.1, s__LD21 sp003155705, 95.0, 76.31, 0.11; GCA_002328625.1, s__LD21 sp002328625, 95.0, 76.18, 0.08; GCA_003501665.1, s__LD21 sp003501665, 95.0, 76.11, 0.05; GCA_002319915.1, s__LD21 sp002319915, 95.0, 75.47, 0.04	97.14	11	N/A	N/A
GCA_002345925.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2286;s__UBA2286 sp002345925	GCA_002345925.1	95.0	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2286;s__UBA2286 sp002345925	100.0	1.0	GCA_002345925.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2286;s__UBA2286 sp002345925	100.0	1.0	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2286;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002841295.1, s__UBA2286 sp002841295, 95.0, 87.78, 0.8; GCA_002841355.1, s__UBA2286 sp002841355, 95.0, 80.89, 0.57	83.57	11	N/A	N/A
GCA_002380925.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA5072;g__UBA5072;s__UBA5072 sp002415855	GCA_002415855.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA5072;g__UBA5072;s__UBA5072 sp002415855	99.84	0.93	GCA_002415855.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA5072;g__UBA5072;s__UBA5072 sp002415855	99.84	0.93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	56.63	11	N/A	N/A
GCA_001771585.1	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp001771585	GCA_001771585.1	95.0	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp001771585	100.0	1.0	GCA_001771585.1	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp001771585	100.0	1.0	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	86.39	11	N/A	N/A
GCA_002840635.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__UBA8904 sp002840635	GCA_002840635.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__UBA8904 sp002840635	100.0	0.98	GCA_002840635.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__UBA8904 sp002840635	100.0	0.98	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002840435.1, s__UBA8904 sp002840435, 95.0, 79.32, 0.35; GCA_002382045.1, s__UBA8904 sp002382045, 95.0, 78.71, 0.29; GCA_003506745.1, s__UBA8904 sp003506745, 95.0, 78.36, 0.29; GCA_002347685.1, s__UBA8904 sp002347685, 95.0, 77.66, 0.21; GCA_002304995.1, s__UBA8904 sp002304995, 95.0, 77.57, 0.18	71.98	11	N/A	N/A
