assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_003553145.1	PRJNA434545	SAMN08575178	PUOY00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		B1Sed10_12	latest	Contig	Major	Full	2018/09/12	ASM355314v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/553/145/GCA_003553145.1_ASM355314v1	./nitril/genbank/bacteria/GCA_003553145.1/GCA_003553145.1_ASM355314v1_genomic.fna.gz
GCA_003553685.1	PRJNA434545	SAMN08575134	PWEZ00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		T1Sed10_61	latest	Contig	Major	Full	2018/09/12	ASM355368v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/553/685/GCA_003553685.1_ASM355368v1	./nitril/genbank/bacteria/GCA_003553685.1/GCA_003553685.1_ASM355368v1_genomic.fna.gz
GCA_003554005.1	PRJNA434545	SAMN08575139	PWEU00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		T1Sed10_7	latest	Contig	Major	Full	2018/09/12	ASM355400v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/554/005/GCA_003554005.1_ASM355400v1	./nitril/genbank/bacteria/GCA_003554005.1/GCA_003554005.1_ASM355400v1_genomic.fna.gz
GCA_003555205.1	PRJNA434545	SAMN08575101	PWGG00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		T1Sed10_190R1	latest	Contig	Major	Full	2018/09/12	ASM355520v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/555/205/GCA_003555205.1_ASM355520v1	./nitril/genbank/bacteria/GCA_003555205.1/GCA_003555205.1_ASM355520v1_genomic.fna.gz
GCA_003556145.1	PRJNA434545	SAMN08574662	PWRP00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed10_91	latest	Contig	Major	Full	2018/09/13	ASM355614v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/556/145/GCA_003556145.1_ASM355614v1	./nitril/genbank/bacteria/GCA_003556145.1/GCA_003556145.1_ASM355614v1_genomic.fna.gz
GCA_003557985.1	PRJNA434545	SAMN08574544	PWNB00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed10_3	latest	Contig	Major	Full	2018/09/13	ASM355798v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/557/985/GCA_003557985.1_ASM355798v1	./nitril/genbank/bacteria/GCA_003557985.1/GCA_003557985.1_ASM355798v1_genomic.fna.gz
GCA_003558435.1	PRJNA434545	SAMN08574508	PWLR00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed10_247	latest	Contig	Major	Full	2018/09/13	ASM355843v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/558/435/GCA_003558435.1_ASM355843v1	./nitril/genbank/bacteria/GCA_003558435.1/GCA_003558435.1_ASM355843v1_genomic.fna.gz
GCA_003558485.1	PRJNA434545	SAMN08574640	PWQT00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed10_53	latest	Contig	Major	Full	2018/09/13	ASM355848v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/558/485/GCA_003558485.1_ASM355848v1	./nitril/genbank/bacteria/GCA_003558485.1/GCA_003558485.1_ASM355848v1_genomic.fna.gz
GCA_003558755.1	PRJNA434545	SAMN08574592	PWOX00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed10_396R1	latest	Contig	Major	Full	2018/09/13	ASM355875v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/558/755/GCA_003558755.1_ASM355875v1	./nitril/genbank/bacteria/GCA_003558755.1/GCA_003558755.1_ASM355875v1_genomic.fna.gz
GCA_003560415.1	PRJNA434545	SAMN08574425	PWIM00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed10_110R1	latest	Contig	Major	Full	2018/09/13	ASM356041v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/560/415/GCA_003560415.1_ASM356041v1	./nitril/genbank/bacteria/GCA_003560415.1/GCA_003560415.1_ASM356041v1_genomic.fna.gz
GCA_003561535.1	PRJNA434545	SAMN08574786	PWWI00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed11_48	latest	Contig	Major	Full	2018/09/13	ASM356153v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/561/535/GCA_003561535.1_ASM356153v1	./nitril/genbank/bacteria/GCA_003561535.1/GCA_003561535.1_ASM356153v1_genomic.fna.gz
GCA_003561955.1	PRJNA434545	SAMN08574812	PWXI00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed11_88	latest	Contig	Major	Full	2018/09/13	ASM356195v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/561/955/GCA_003561955.1_ASM356195v1	./nitril/genbank/bacteria/GCA_003561955.1/GCA_003561955.1_ASM356195v1_genomic.fna.gz
GCA_003562035.1	PRJNA434545	SAMN08574801	PWWX00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed11_7	latest	Contig	Major	Full	2018/09/13	ASM356203v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/562/035/GCA_003562035.1_ASM356203v1	./nitril/genbank/bacteria/GCA_003562035.1/GCA_003562035.1_ASM356203v1_genomic.fna.gz
GCA_003563215.1	PRJNA434545	SAMN08574687	PWSN00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed11_146	latest	Contig	Major	Full	2018/09/13	ASM356321v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/563/215/GCA_003563215.1_ASM356321v1	./nitril/genbank/bacteria/GCA_003563215.1/GCA_003563215.1_ASM356321v1_genomic.fna.gz
GCA_003563915.1	PRJNA434545	SAMN08574704	PWTE00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed11_175R1	latest	Contig	Major	Full	2018/09/13	ASM356391v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/563/915/GCA_003563915.1_ASM356391v1	./nitril/genbank/bacteria/GCA_003563915.1/GCA_003563915.1_ASM356391v1_genomic.fna.gz
GCA_003564115.1	PRJNA434545	SAMN08574672	PWRY00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		CSSed11_105	latest	Contig	Major	Full	2018/09/13	ASM356411v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/564/115/GCA_003564115.1_ASM356411v1	./nitril/genbank/bacteria/GCA_003564115.1/GCA_003564115.1_ASM356411v1_genomic.fna.gz
GCA_003564215.1	PRJNA434545	SAMN08575027	PXFO00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		T3Sed10_89	latest	Contig	Major	Full	2018/09/13	ASM356421v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/564/215/GCA_003564215.1_ASM356421v1	./nitril/genbank/bacteria/GCA_003564215.1/GCA_003564215.1_ASM356421v1_genomic.fna.gz
GCA_003565155.1	PRJNA434545	SAMN08574962	PXDB00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		T3Sed10_318R1	latest	Contig	Major	Full	2018/09/13	ASM356515v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/565/155/GCA_003565155.1_ASM356515v1	./nitril/genbank/bacteria/GCA_003565155.1/GCA_003565155.1_ASM356515v1_genomic.fna.gz
GCA_003568175.1	PRJNA434545	SAMN08574821	PWXQ00000000.1	derived from metagenome	na		2093808	2093808	Nitriliruptoraceae bacterium		T3Sed10_10	latest	Contig	Major	Full	2018/09/13	ASM356817v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/568/175/GCA_003568175.1_ASM356817v1	./nitril/genbank/bacteria/GCA_003568175.1/GCA_003568175.1_ASM356817v1_genomic.fna.gz
GCA_003550425.1	PRJNA434545	SAMN08575302	PUKE00000000.1	derived from metagenome	na		2093810	2093810	Nitriliruptoria bacterium		B1Sed10_92	latest	Contig	Major	Full	2018/09/12	ASM355042v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/550/425/GCA_003550425.1_ASM355042v1	./nitril/genbank/bacteria/GCA_003550425.1/GCA_003550425.1_ASM355042v1_genomic.fna.gz
GCA_003550735.1	PRJNA434545	SAMN08575280	PULA00000000.1	derived from metagenome	na		2093810	2093810	Nitriliruptoria bacterium		B1Sed10_60	latest	Contig	Major	Full	2018/09/12	ASM355073v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/550/735/GCA_003550735.1_ASM355073v1	./nitril/genbank/bacteria/GCA_003550735.1/GCA_003550735.1_ASM355073v1_genomic.fna.gz
GCA_003551885.1	PRJNA434545	SAMN08575207	PUNV00000000.1	derived from metagenome	na		2093810	2093810	Nitriliruptoria bacterium		B1Sed10_168	latest	Contig	Major	Full	2018/09/12	ASM355188v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/551/885/GCA_003551885.1_ASM355188v1	./nitril/genbank/bacteria/GCA_003551885.1/GCA_003551885.1_ASM355188v1_genomic.fna.gz
GCA_003553565.1	PRJNA434545	SAMN08575142	PWER00000000.1	derived from metagenome	na		2093810	2093810	Nitriliruptoria bacterium		T1Sed10_73	latest	Contig	Major	Full	2018/09/12	ASM355356v1	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/553/565/GCA_003553565.1_ASM355356v1	./nitril/genbank/bacteria/GCA_003553565.1/GCA_003553565.1_ASM355356v1_genomic.fna.gz
